Time,Total Injected Volume,Days Injected,Summed Injected Rate,Sum Injected Pressure,Summed Max Pressure,Oil Produced,Gas produced,Water Produced,Water Percent
Jan-06,7824,31,252.3870968,0,0,10825,258655,30557,0.7384
Feb-06,15727,28,561.6785714,31,220,9316,223188,24106,0.7213
Mar-06,18153,31,585.5806452,664,500,11005,241196,27104,0.7112
Apr-06,12924,24,538.5,927,1290,7729,190175,19779,0.7190
May-06,17873,31,576.5483871,0,0,10928,232874,28134,0.7202
Jun-06,16094,30,536.4666667,0,0,12723,233358,30711,0.7071
Jul-06,17392,31,561.0322581,0,0,10221,211998,30977,0.7519
Aug-06,31589,62,1019,0,0,10220,186642,26853,0.7243
Sep-06,41760,60,1392,0,0,10556,178947,21097,0.6665
Oct-06,59740,94,2412.631048,100,0,12891,222010,17549,0.5765
Nov-06,39670,120,1322.333333,50,0,11785,220113,24192,0.6724
Dec-06,47461,124,1531,0,0,15108,227728,31802,0.6779
Jan-07,45485,124,1467.258065,0,0,13227,201199,28106,0.6800
Feb-07,51807,112,1850.25,1673,1700,9641,164742,21435,0.6898
Mar-07,60314,124,1945.612903,1916,1700,15127,230605,46987,0.7565
Apr-07,53775,120,1792.5,1570,1600,15244,222538,36998,0.7082
May-07,53166,124,1715.032258,1471,1460,15322,229077,42086,0.7331
Jun-07,56572,120,1885.733333,1692,1420,12492,227145,31799,0.7180
Jul-07,62777,124,2025.064516,1515,1420,12858,227394,33101,0.7202
Aug-07,57505,123,1867.509677,1390,1680,12440,221767,25165,0.6692
Sep-07,60403,120,2013.433333,1634,1620,16040,255869,35646,0.6897
Oct-07,58625,124,1891.129032,1605,1700,16079,280516,39487,0.7106
Nov-07,62896,120,2096.533333,1766,1880,14413,336251,33146,0.6969
Dec-07,67282,124,2170.387097,1687,1760,16239,316062,34574,0.6804
Jan-08,55103,124,1777.516129,1528,1620,14328,288493,31392,0.6866
Feb-08,56795,116,1958.448276,1663,1700,14119,231450,27011,0.6567
Mar-08,63142,124,2036.83871,1688,1700,14973,243075,34059,0.6946
Apr-08,63220,120,2107.333333,1700,1700,15773,254217,32732,0.6748
May-08,45711,91,2157.754839,1093,1700,7006,125375,12538,0.6415
Jun-08,90257,120,3008.566667,1691,1580,13269,243513,33444,0.7159
Jul-08,82664,124,2666.580645,1359,1580,14458,253020,37719,0.7229
Aug-08,64648,124,2085.419355,1747,1420,14955,267196,38156,0.7184
Sep-08,74967,120,2498.9,2636,2825,15640,252605,35161,0.6921
Oct-08,66134,124,2133.354839,2663,2950,14475,247670,35633,0.7111
Nov-08,55929,117,1914.056322,2594,2675,12721,251197,28901,0.6944
Dec-08,37506,109,1393.19603,1940,2470,12437,218914,29845,0.7059
Jan-09,51495,124,1661.129032,1970,2450,14395,254406,34432,0.7052
Feb-09,50811,112,1814.678571,2150,2390,13233,242401,30360,0.6964
Mar-09,52843,123,1719.498925,2155,1645,13582,274666,36091,0.7266
Apr-09,48197,120,1606.566667,2049,2130,13211,260853,29830,0.6931
May-09,60656,124,1956.645161,2217,2645,12841,250979,28546,0.6897
Jun-09,95310,120,3177,3665,4250,12663,228019,28894,0.6953
Jul-09,86011,116,2847.053296,3515,4300,11984,229710,29665,0.7123
Aug-09,91342,124,2946.516129,4219,4669,12139,234621,31682,0.7230
Sep-09,88262,120,2942.066667,4801,5170,10956,193133,22850,0.6759
Oct-09,89717,124,2894.096774,4887,5250,11955,199464,31619,0.7256
Nov-09,84874,120,2829.133333,4571,4790,11860,221429,30923,0.7228
Dec-09,67556,116,2286.707692,3701,4290,11737,240886,31227,0.7268
Jan-10,69210,105,2677.969451,3630,3950,9301,351893,23974,0.7205
Feb-10,66437,112,2372.75,2570,3750,10633,200940,34443,0.7641
Mar-10,71396,124,2303.096774,3939,4280,11627,229320,39662,0.7733
Apr-10,55203,107,2100.434872,3281,3945,11341,212226,33022,0.7444
May-10,64974,124,2095.935484,3584,3730,10857,248101,31940,0.7463
Jun-10,51792,108,1939.887293,3215,3690,11210,255318,31776,0.7392
Jul-10,72082,124,2325.225806,3310,4942,10018,233810,23007,0.6967
Aug-10,63167,124,2037.645161,3664,3800,8563,226686,22966,0.7284
Sep-10,59413,120,1980.433333,3695,3820,9621,265784,30376,0.7595
Oct-10,63556,122,2082.98109,3524,3860,11611,267553,27579,0.7037
Nov-10,67964,120,2265.466667,3995,4360,12324,207605,30722,0.7137
Dec-10,68071,124,2195.83871,4208,4250,10694,179266,26821,0.7149
Jan-11,65433,124,2110.741935,4180,4260,11080,178471,33292,0.7503
Feb-11,56336,112,2012,4100,4100,7681,169763,29074,0.7910
Mar-11,60232,124,1942.967742,4100,4100,10004,193784,29838,0.7489
Apr-11,59120,119,1991.009195,4100,4100,8704,174854,17436,0.6670
May-11,61606,124,1987.290323,4100,4100,8537,174669,20607,0.7071
Jun-11,54270,109,2020.013793,3953,4100,9386,200458,21944,0.7004
Jul-11,58660,124,1892.258065,3756,3856,10509,213484,31123,0.7476
Aug-11,57588,124,1857.677419,3800,3800,10623,212211,32116,0.7514
Sep-11,48325,103,1963.275976,3597,4250,10415,190926,21960,0.6783
Oct-11,61703,124,1990.419355,3599,3650,15905,205065,30312,0.6559
Nov-11,60779,120,2025.966667,3650,3650,15157,207472,26076,0.6324
Dec-11,57820,124,1865.16129,3422,3550,14422,214636,30309,0.6776
Jan-12,66059,124,2130.935484,3544,4075,13114,210396,24294,0.6494
Feb-12,65929,116,2273.413793,4065,4075,13027,208423,29273,0.6920
Mar-12,73659,124,2376.096774,4075,4075,13459,219815,24071,0.6414
Apr-12,59685,120,1989.5,3971,4125,14195,213022,38713,0.7317
May-12,69184,124,2231.741935,4348,4004,14808,230639,35947,0.7082
Jun-12,70690,120,2356.333333,4083,4100,14067,230683,35106,0.7139
Jul-12,72171,123,2337.352688,4260,4350,12006,236231,31791,0.7259
Aug-12,52630,124,1697.741935,4272,4350,12121,216986,29724,0.7103
Sep-12,68405,120,2280.166667,3827,4050,10489,203771,28018,0.7276
Oct-12,73753,122,2421.867631,4153,4500,12266,233865,29597,0.7070
Nov-12,69996,108,2640.755556,4099,4400,10790,221072,26906,0.7138
Dec-12,74017,124,2387.645161,4235,4350,7781,147861,18464,0.7035
Jan-13,70683,124,2280.096774,4283,4350,10928,227075,24661,0.6929
Feb-13,48400,91,2223.190476,3626,4300,10455,189743,27841,0.7270
Mar-13,84365,124,2721.451613,3519,3750,12193,221899,28693,0.7018
Apr-13,109977,120,3665.9,2250,2250,9861,233319,26669,0.7301
May-13,109009,124,3516.419355,3656,3950,9290,216536,19200,0.6739
Jun-13,120234,120,4007.8,4276,4500,9192,239543,21841,0.7038
Jul-13,132707,124,4280.870968,4401,4500,10124,214494,28975,0.7411
Aug-13,153149,124,4940.290323,4502,4550,10863,217799,27175,0.7144
Sep-13,143873,120,4795.766667,4523,4600,9618,208446,23215,0.7071
Oct-13,112318,93,3623.16129,4505,4750,11457,199486,36172,0.7595
Nov-13,125065,114,4449.002381,4510,4510,10431,232557,27279,0.7234
Dec-13,88264,124,2847.225806,4451,4490,10323,226207,24481,0.7034
Jan-14,95761,124,3089.064516,4046,4700,10510,251307,26967,0.7196
Feb-14,73380,112,2620.714286,4816,5300,8368,210608,17280,0.6737
Mar-14,76249,124,2459.645161,4746,5100,8954,234368,20033,0.6911
Apr-14,52162,120,1738.733333,3691,4500,8817,234818,24222,0.7331
May-14,57365,124,1850.483871,3149,3700,10142,219713,28851,0.7399
Jun-14,69415,120,2313.833333,3671,4250,10205,234155,24501,0.7060
Jul-14,64784,124,2089.806452,3868,4650,10372,244160,24656,0.7039
Aug-14,67117,124,2165.064516,3654,4650,10859,240506,32022,0.7468
Sep-14,59474,120,1982.466667,3351,4000,8831,259185,51969,0.8548
Oct-14,70970,124,2289.354839,3764,4400,8215,261246,47155,0.8516
Nov-14,72008,120,2400.266667,4343,4698,7730,217221,22819,0.7470
Dec-14,63100,124,2035.483871,4015,4436,12136,257380,39635,0.7656
Jan-15,64876,124,2092.774194,4044,4630,10724,253302,33145,0.7555
Feb-15,55573,112,1984.75,3852,4469,9309,222741,28603,0.7545
Mar-15,76825,123,2501.951613,4287,4614,9465,234401,27607,0.7447
Apr-15,64916,120,2163.866667,4182,4614,9657,236865,28754,0.7486
May-15,68722,123,2226.337634,4309,4782,8905,232155,25448,0.7408
Jun-15,71203,120,2373.433333,4789,4940,10049,238793,32608,0.7644
Jul-15,66958,124,2159.935484,4493,5046,10523,244700,34724,0.7674
Aug-15,79538,124,2565.741935,4436,4648,10476,277386,27040,0.7208
Sep-15,78533,120,2617.766667,4606,4865,9181,260707,28870,0.7587
Oct-15,75718,124,2442.516129,4483,4775,8324,241705,26710,0.7624
Nov-15,72997,120,2433.233333,4323,4604,7655,224531,25785,0.7711
Dec-15,80063,124,2582.677419,4527,4843,8073,218657,28473,0.7791
Jan-16,82371,124,2657.129032,4815,4965,7402,194067,26287,0.7803
Feb-16,76138,116,2625.448276,4881,5109,7621,197261,191254,0.9617
Mar-16,81776,124,2637.935484,4848,5100,7572,204664,27212,0.7823
Apr-16,70455,120,2348.5,4519,4941,6763,173945,24617,0.7845
May-16,72855,124,2350.16129,4292,4715,7861,200173,28661,0.7848
Jun-16,80253,120,2675.1,4466,3425,6819,173646,21899,0.7626
Jul-16,79436,124,2562.451613,4765,5100,7258,187900,25295,0.7770
Aug-16,75998,124,2451.548387,4724,5185,7767,160378,27921,0.7824
Sep-16,86681,120,2889.366667,5053,5470,7022,159020,27593,0.7971
Oct-16,83359,124,2689,4965,5210,6962,138969,26725,0.7933
Nov-16,81132,120,2704.4,4916,5190,6791,152753,24728,0.7845
Dec-16,76573,123,2491.58172,4840,5330,5573,151061,16631,0.7490
Jan-17,78304,124,2525.935484,4765,4940,6769,166818,24502,0.7835
Feb-17,70259,112,2509.25,4850,4990,6450,137712,23845,0.7871
Mar-17,87519,124,2823.193548,4731,4915,7573,172158,28393,0.7894
Apr-17,82916,120,2763.866667,4859,4923,6864,166487,26410,0.7937
May-17,84150,124,2714.516129,4784,4980,6344,173342,2238,0.2608
Jun-17,100839,125,4419.963248,4854,4958,5892,159867,800,0.1195
Jul-17,139657,155,4505.064516,4890,4975,4940,140828,20263,0.8040
Aug-17,114027,124,3678.290323,3271,3325,6266,153361,23798,0.7916
Sep-17,107215,117,3591.818519,3268,3367,5316,127506,19319,0.7842
Oct-17,118629,124,3826.741935,3370,3664,5719,127808,22975,0.8007
Nov-17,120987,119,4064.566667,3791,4030,5441,90831,22902,0.8080
Dec-17,123330,124,3978.387097,4049,4260,6136,95675,26688,0.8131
Jan-18,123214,124,3974.645161,4285,4426,5364,96162,,0.0000
Feb-18,112448,112,4016,4435,4563,5743,107089,20487,0.7811
Mar-18,133639,146,4790.105108,5390,6357,7311,275428,28287,0.7946
Apr-18,147101,150,4903.366667,6052,6266,5560,120700,25303,0.8198
May-18,148483,155,4789.774194,6212,6381,7362,119306,29930,0.8026
Jun-18,139749,150,4658.3,6271,6429,6526,98947,28845,0.8155
Jul-18,119959,155,3869.645161,5655,6411,6514,90452,34524,0.8413
Aug-18,140146,155,4520.83871,5823,6020,7198,105687,28117,0.7962
